,cond_color,probvar,cost,choseH,subject,mn_ss
385,same,high,high,0,217,1.33333333333
386,same,high,high,0,218,2.0
387,same,high,high,1,92,4.5
388,same,high,high,1,93,2.0
389,same,high,high,1,96,1.0
390,same,high,high,1,97,1.5
391,same,high,high,1,100,3.6
392,same,high,high,1,102,3.33333333333
393,same,high,high,1,104,3.33333333333
394,same,high,high,1,106,1.5
395,same,high,high,1,107,7.0
396,same,high,high,1,110,8.0
397,same,high,high,1,112,3.66666666667
398,same,high,high,1,113,1.0
399,same,high,high,1,116,2.0
400,same,high,high,1,119,2.0
401,same,high,high,1,121,1.66666666667
402,same,high,high,1,123,2.6
403,same,high,high,1,127,5.5
404,same,high,high,1,130,5.66666666667
405,same,high,high,1,136,17.2
406,same,high,high,1,137,2.25
407,same,high,high,1,140,3.0
408,same,high,high,1,141,3.33333333333
409,same,high,high,1,144,5.0
410,same,high,high,1,145,3.5
411,same,high,high,1,148,3.66666666667
412,same,high,high,1,149,2.0
413,same,high,high,1,151,3.5
414,same,high,high,1,153,1.66666666667
415,same,high,high,1,159,8.5
416,same,high,high,1,163,2.0
417,same,high,high,1,166,1.0
418,same,high,high,1,170,3.75
419,same,high,high,1,175,4.4
420,same,high,high,1,176,2.75
421,same,high,high,1,179,2.6
422,same,high,high,1,180,1.0
423,same,high,high,1,181,3.5
424,same,high,high,1,191,1.33333333333
425,same,high,high,1,192,3.8
426,same,high,high,1,194,18.2
427,same,high,high,1,198,1.33333333333
428,same,high,high,1,202,10.0
429,same,high,high,1,203,1.5
430,same,high,high,1,205,5.0
431,same,high,high,1,208,3.0
432,same,high,high,1,209,2.33333333333
433,same,high,high,1,211,5.4
434,same,high,high,1,214,1.66666666667
435,same,high,high,1,217,1.0
436,same,high,high,1,218,2.0
437,same,high,low,0,92,28.0
438,same,high,low,0,93,2.0
439,same,high,low,0,96,2.0
440,same,high,low,0,100,11.0
441,same,high,low,0,102,2.75
442,same,high,low,0,104,12.0
443,same,high,low,0,106,1.0
444,same,high,low,0,107,6.33333333333
445,same,high,low,0,110,34.0
446,same,high,low,0,113,1.0
447,same,high,low,0,116,5.0
448,same,high,low,0,119,2.0
449,same,high,low,0,123,1.6
450,same,high,low,0,127,10.5
451,same,high,low,0,130,16.5
452,same,high,low,0,136,35.0
453,same,high,low,0,137,2.33333333333
454,same,high,low,0,140,4.0
455,same,high,low,0,141,16.75
456,same,high,low,0,145,20.0
457,same,high,low,0,148,12.0
458,same,high,low,0,149,2.0
459,same,high,low,0,151,17.0
460,same,high,low,0,153,4.0
461,same,high,low,0,159,37.0
462,same,high,low,0,163,7.5
463,same,high,low,0,166,20.0
464,same,high,low,0,170,3.66666666667
465,same,high,low,0,175,22.0
466,same,high,low,0,176,5.66666666667
467,same,high,low,0,179,6.66666666667
468,same,high,low,0,180,1.0
469,same,high,low,0,181,11.0
470,same,high,low,0,191,15.5
471,same,high,low,0,192,7.0
472,same,high,low,0,194,36.0
473,same,high,low,0,198,5.5
474,same,high,low,0,203,5.0
475,same,high,low,0,205,7.0
476,same,high,low,0,208,8.0
477,same,high,low,0,209,16.0
478,same,high,low,0,211,27.0
479,same,high,low,0,214,9.0
480,same,high,low,0,217,7.0
481,same,high,low,0,218,2.0
482,same,high,low,1,92,15.6
483,same,high,low,1,93,6.6
